Table 7,Monthly fL(RH)Large (NH4)2SO4 and NH4NO3 Relative Humidity Adjustment Factor
Class_I_Area,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Acadia NP,2.74,2.46,2.45,2.66,2.67,2.73,2.99,3.03,3.16,2.91,2.89,2.96
Agua Tibia Wilderness,2.1,2.08,2.11,1.98,1.98,1.93,1.93,2.01,2.02,1.99,1.87,1.95
Alpine Lakes Wilderness,3.86,3.58,3.04,2.92,2.99,2.58,2.62,2.67,2.97,3.6,4,3.99
Anaconda Pintler Wilderness,2.75,2.46,2.24,2.08,2.06,2.01,1.76,1.72,1.88,2.22,2.66,2.74
Ansel Adams Wilderness,2.56,2.34,2.2,1.88,1.79,1.59,1.52,1.52,1.59,1.7,2.01,2.34
Arches NP,2.28,2.12,1.73,1.57,1.5,1.28,1.34,1.47,1.51,1.56,1.9,2.13
Badlands NP,2.31,2.31,2.31,2.21,2.34,2.25,2.08,2.05,2.02,2.05,2.38,2.33
Bandelier NM,2.1,1.9,1.72,1.51,1.53,1.38,1.63,1.87,1.8,1.59,1.87,2.04
Bering Sea Wilderness,3.02,3.17,3.2,3.19,3.23,3.34,3.78,4.16,3.64,3.19,3.12,3.13
Big Bend NP,1.72,1.61,1.44,1.38,1.47,1.48,1.58,1.74,1.83,1.63,1.63,1.7
Black Canyon of the Gunnison NP,2.15,2.05,1.83,1.75,1.74,1.51,1.59,1.78,1.8,1.68,1.96,2.06
Bob Marshall Wilderness,2.82,2.54,2.35,2.22,2.21,2.19,1.98,1.92,2.15,2.43,2.78,2.81
Bosque del Apache Wilderness,2.03,1.82,1.55,1.37,1.36,1.27,1.61,1.79,1.73,1.54,1.73,2
Boundary Waters Canoe Area Wilderness,2.5,2.25,2.28,2.09,2.2,2.43,2.57,2.71,2.78,2.38,2.64,2.64
Breton Wilderness,2.91,2.76,2.74,2.72,2.83,2.94,3.1,3.07,2.97,2.82,2.83,2.9
Bridger Wilderness,2.22,2.1,2.04,1.95,1.95,1.67,1.46,1.44,1.68,1.83,2.19,2.16
Brigantine Wilderness,2.49,2.32,2.38,2.28,2.5,2.56,2.69,2.81,2.82,2.71,2.45,2.5
Bryce Canyon NP,2.31,2.16,1.82,1.56,1.47,1.26,1.3,1.46,1.46,1.55,1.87,2.15
