Table 8,Monthly fS(RH)Small (NH4)2SO4 and NH4NO3 Relative Humidity Adjustment Factor
Class_I_Area,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Acadia NP,3.8,3.28,3.3,3.71,3.72,3.81,4.28,4.34,4.58,4.1,4.06,4.19
Agua Tibia Wilderness,2.68,2.61,2.63,2.42,2.4,2.33,2.33,2.45,2.49,2.46,2.29,2.42
Alpine Lakes Wilderness,5.87,5.35,4.34,4.13,4.3,3.5,3.61,3.69,4.27,5.43,6.15,6.08
Anaconda Pintler Wilderness,3.72,3.23,2.87,2.62,2.6,2.52,2.14,2.07,2.33,2.87,3.6,3.71
Ansel Adams Wilderness,3.51,3.11,2.87,2.34,2.18,1.86,1.75,1.76,1.88,2.05,2.55,3.12
Arches NP,2.96,2.7,2.09,1.84,1.75,1.4,1.49,1.69,1.76,1.83,2.33,2.69
Badlands NP,2.94,2.96,3.01,2.87,3.1,2.91,2.64,2.59,2.56,2.58,3.11,2.98
Bandelier NM,2.66,2.36,2.1,1.77,1.8,1.55,1.93,2.3,2.21,1.87,2.32,2.6
Bering Sea Wilderness,4.16,4.48,4.52,4.5,4.64,4.86,5.71,6.43,5.4,4.52,4.36,4.37
Big Bend NP,2.11,1.92,1.65,1.56,1.67,1.67,1.83,2.07,2.22,1.92,1.92,2.04
Black Canyon of the Gunnison NP,2.71,2.56,2.23,2.12,2.12,1.75,1.87,2.17,2.21,2,2.42,2.57
Bob Marshall Wilderness,3.84,3.35,3.06,2.86,2.86,2.84,2.49,2.39,2.77,3.22,3.81,3.83
Bosque del Apache Wilderness,2.56,2.23,1.83,1.54,1.54,1.39,1.9,2.16,2.09,1.79,2.09,2.53
Boundary Waters Canoe Area Wilderness,3.23,2.81,2.93,2.63,2.89,3.22,3.44,3.71,3.83,3.08,3.49,3.49
Breton Wilderness,4.08,3.82,3.79,3.74,3.94,4.12,4.41,4.37,4.18,3.92,3.93,4.06
Bridger Wilderness,2.78,2.6,2.55,2.43,2.45,1.99,1.65,1.63,2.03,2.25,2.78,2.68
Brigantine Wilderness,3.34,3.07,3.17,2.99,3.37,3.45,3.68,3.9,3.91,3.73,3.27,3.36
Bryce Canyon NP,3.02,2.77,2.23,1.84,1.7,1.38,1.42,1.67,1.67,1.81,2.3,2.75
Cabinet Mountains Wilderness,4.3,3.69,3.23,2.91,2.91,2.87,2.5,2.4,2.84,3.4,4.26,4.37
Caney Creek Wilderness,3.85,3.44,3.14,3.24,3.66,3.71,3.49,3.51,3.73,3.72,3.68,3.88
Canyonlands NP,3.03,2.77,2.17,1.86,1.76,1.4,1.52,1.78,1.81,1.87,2.38,2.77
Cape Romain Wilderness,3.66,3.33,3.24,3.07,3.46,3.88,3.91,4.31,4.3,4,3.62,3.73
Capitol Reef NP,3.1,2.86,2.27,1.94,1.81,1.45,1.52,1.77,1.81,1.91,2.43,2.86
Caribou Wilderness,4.17,3.5,3.11,2.68,2.54,2.28,2.21,2.26,2.36,2.6,3.39,3.93
Carlsbad Caverns NP,2.7,2.25,1.75,1.63,1.77,1.7,2.06,2.34,2.59,1.95,2.16,2.57
Chassahowitzka Wilderness,4.31,3.92,3.79,3.62,3.57,4.22,4.26,4.5,4.49,4.29,4.18,4.43
Chiricahua NM,2.29,2.19,1.75,1.34,1.31,1.18,1.94,2.28,1.95,1.64,1.79,2.34
Chiricahua Wilderness,2.25,2.14,1.71,1.3,1.28,1.17,1.95,2.26,1.93,1.61,1.75,2.31
Cohutta Wilderness,3.99,3.59,3.38,3.16,3.76,4.19,4.24,4.37,4.41,4.09,3.77,4
Crater Lake NP,5.58,4.73,4.37,4.09,3.7,3.37,3.05,3.08,3.38,4.26,5.52,5.64
Craters of the Moon NM,3.4,3,2.52,2.22,2.23,1.94,1.56,1.55,1.76,2.17,3.04,3.32
Cucamonga Wilderness,2.87,2.73,2.68,2.4,2.37,2.29,2.31,2.38,2.43,2.42,2.34,2.54
Denali NP & Pres,3.21,3.19,2.71,2.39,2.46,2.69,3.27,4.05,4.17,3.9,3.59,3.58
Desolation Wilderness,3.77,3.22,2.82,2.26,2.09,1.8,1.67,1.71,1.84,2.08,2.72,3.44
Diamond Peak Wilderness,5.79,4.97,4.61,4.35,3.9,3.55,3.08,3.12,3.55,4.63,5.75,5.88
Dolly Sods Wilderness,3.39,3.16,3.17,2.87,3.63,3.62,3.78,4.06,4.15,3.63,3.27,3.53
Dome Land Wilderness,2.97,2.64,2.51,2.17,2.08,1.91,1.89,1.93,2.01,2.06,2.23,2.56
Eagle Cap Wilderness,5.05,4.28,3.45,3.05,3.02,2.56,2.2,2.15,2.53,3.62,4.89,5.26
Eagles Nest Wilderness,2.48,2.48,2.29,2.32,2.42,2.03,2.02,2.24,2.31,2.09,2.42,2.42
Emigrant Wilderness,3.69,3.25,2.98,2.39,2.21,1.86,1.71,1.73,1.85,2.07,2.68,3.32
Everglades NP,3.14,2.93,2.83,2.67,2.63,3.03,2.91,3.22,3.33,3.12,2.95,3.08
Fitzpatrick Wilderness,2.78,2.6,2.54,2.43,2.44,1.99,1.66,1.63,2.02,2.25,2.77,2.68
Flat Tops Wilderness,2.61,2.53,2.28,2.26,2.31,1.91,1.86,2.04,2.19,2.06,2.42,2.51
Galiuro Wilderness,2.17,1.99,1.68,1.3,1.26,1.14,1.62,1.96,1.75,1.6,1.82,2.31
Gates of the Mountains Wilderness,3.2,2.85,2.71,2.57,2.53,2.5,2.21,2.14,2.37,2.74,3.09,3.12
Gearhart Mountain Wilderness,4.8,4.05,3.6,3.3,3.04,2.76,2.37,2.39,2.62,3.36,4.45,4.76
Gila Wilderness,2.4,2.16,1.77,1.45,1.41,1.33,2.11,2.12,2,1.73,1.99,2.45
Glacier NP,4.53,3.87,3.63,3.39,3.51,3.48,2.91,2.87,3.47,3.86,4.29,4.37
Glacier Peak Wilderness,5.53,4.98,4.21,3.99,3.9,3.43,3.35,3.54,4.14,5.12,5.8,5.8
Goat Rocks Wilderness,5.81,5.08,4.46,4.23,3.97,3.57,3.35,3.48,4.11,5.22,5.98,6.09
Grand Canyon NP,2.73,2.53,2.12,1.69,1.52,1.27,1.42,1.72,1.69,1.74,2.11,2.49
Grand Teton NP,2.88,2.66,2.48,2.35,2.34,2,1.68,1.62,1.94,2.25,2.73,2.82
Great Gulf Wilderness,3.34,3.02,3.12,3.23,3.31,3.46,3.76,4.03,4.22,3.9,3.64,3.5
Great Sand Dunes NP & Pres,2.66,2.55,2.27,2.16,2.22,1.92,2.04,2.47,2.41,2.07,2.57,2.63
Great Smoky Mountains NP,4.01,3.52,3.43,3.14,3.76,4.2,4.21,4.39,4.45,4.05,3.76,3.99
Guadalupe Mountains NP,2.85,2.28,1.74,1.57,1.73,1.69,2.16,2.48,2.74,1.9,2.2,2.71
Haleakala NP,2.98,2.85,2.81,2.72,2.6,2.53,2.65,2.63,2.56,2.69,2.95,2.89
Hawaii Volcanoes NP,3.35,3.1,3.14,3.13,3.14,3.11,3.24,3.42,3.34,3.38,3.76,3.34
Hells Canyon Wilderness,4.28,3.56,2.83,2.42,2.34,2.19,1.8,1.75,2.01,2.75,4.03,4.45
Hercules-Glades Wilderness,3.7,3.33,3.01,3.01,3.47,3.48,3.41,3.51,3.67,3.43,3.46,3.73
Hoover Wilderness,3.63,3.18,2.89,2.33,2.16,1.82,1.66,1.68,1.81,2.02,2.62,3.25
Isle Royale NP,3.26,2.74,2.87,2.58,2.46,3,3.59,3.68,3.92,2.88,3.72,3.67
James River Face Wilderness,3.25,3.03,3.02,2.72,3.31,3.48,3.59,3.83,3.91,3.48,3.11,3.38
Jarbidge Wilderness,3.29,2.92,2.31,2.34,2.44,2.22,1.73,1.51,1.48,1.8,2.7,3.13
John Muir Wilderness,3.42,3.02,2.86,2.44,2.29,1.94,1.86,1.87,2.01,2.16,2.6,3.03
Joshua Tree NP,2.62,2.49,2.44,2.19,2.16,2.05,1.97,2.18,2.21,2.19,2.11,2.31
Joyce Kilmer-Slickrock Wilderness,4.02,3.54,3.42,3.15,3.74,4.19,4.21,4.35,4.41,4.04,3.77,4
Kaiser Wilderness,3.55,3.13,2.89,2.36,2.21,1.9,1.81,1.83,1.95,2.12,2.59,3.16
Kalmiopsis Wilderness,5.32,4.56,4.3,4.02,3.79,3.54,3.43,3.44,3.56,4.12,5.21,5.28
Kings Canyon,3.35,2.97,2.82,2.42,2.28,1.93,1.85,1.87,2.01,2.15,2.56,2.96
La Garita Wilderness,2.71,2.54,2.21,2.04,2.05,1.72,1.93,2.31,2.26,2,2.46,2.62
Lassen Volcanic NP,4.24,3.55,3.16,2.73,2.58,2.31,2.24,2.29,2.39,2.64,3.46,4
Lava Beds NM,4.84,4.05,3.63,3.28,3.04,2.76,2.53,2.55,2.75,3.29,4.35,4.75
Linville Gorge Wilderness,3.76,3.46,3.37,3.07,3.74,4.18,4.24,4.62,4.61,4,3.59,3.8
Lostwood Wilderness,3.21,3.15,3.36,2.6,2.54,2.86,2.89,2.6,2.53,2.72,3.6,3.52
Lye Brook Wilderness,3.25,2.99,3.1,3.06,3.24,3.3,3.52,3.8,3.95,3.71,3.42,3.35
Mammoth Cave NP,3.86,3.47,3.32,3.54,4.9,5.77,5.58,4.09,4.15,3.73,3.54,3.91
Marble Mountain Wilderness,5.15,4.4,4.15,3.84,3.67,3.44,3.41,3.44,3.5,3.89,4.87,5.04
Maroon Bells-Snowmass Wilderness,2.48,2.44,2.23,2.25,2.25,1.87,2.02,2.35,2.35,2.04,2.36,2.38
Mazatzal Wilderness,2.36,2.2,1.88,1.46,1.36,1.18,1.54,1.89,1.74,1.66,1.91,2.33
Medicine Lake Wilderness,3.25,3.15,3.21,2.52,2.49,2.71,2.71,2.42,2.46,2.65,3.48,3.48
Mesa Verde NP,3.32,2.96,2.55,1.88,1.96,1.46,1.94,2.35,2.13,2.04,2.57,3.06
Mingo Wilderness,3.74,3.38,3.07,2.97,3.39,3.52,3.57,3.64,3.72,3.47,3.43,3.74
Mission Mountains Wilderness,4.03,3.51,3.08,2.82,2.84,2.83,2.49,2.4,2.78,3.28,4.04,4.08
Mokelumne Wilderness,3.75,3.23,2.86,2.29,2.12,1.81,1.68,1.72,1.84,2.08,2.71,3.41
Moosehorn Wilderness,3.59,3.14,3.16,3.44,3.38,3.49,3.98,4.18,4.4,3.94,3.82,3.82
Mount Adams Wilderness,5.71,5,4.46,4.23,3.89,3.55,3.26,3.41,4.02,5.13,5.89,5.98
Mount Baldy Wilderness,2.51,2.3,1.92,1.51,1.43,1.25,1.73,2.08,1.88,1.76,2.08,2.54
Mount Hood Wilderness,5.56,4.87,4.4,4.19,3.79,3.44,3.07,3.22,3.79,4.93,5.76,5.81
Mount Jefferson Wilderness,5.95,5.16,4.78,4.57,4.09,3.65,3.1,3.11,3.63,4.91,5.98,6.05
Mount Rainier NP,6.01,5.29,4.71,4.51,4.23,3.82,3.59,3.73,4.39,5.55,6.23,6.27
Mount Washington Wilderness,6.35,5.47,5.22,5.07,4.42,3.93,3.16,3.09,3.63,5.07,6.31,6.35
Mount Zirkel Wilderness,2.43,2.44,2.31,2.37,2.51,2.07,1.92,2.02,2.23,2.12,2.41,2.37
Mountain Lakes Wilderness,5.2,4.32,3.9,3.58,3.26,2.96,2.69,2.7,2.94,3.67,4.96,5.24
North Absaroka Wilderness,2.68,2.51,2.5,2.42,2.4,2.13,1.83,1.72,1.98,2.31,2.65,2.65
North Cascades NP,5.37,4.86,4.24,4.04,3.8,3.51,3.34,3.61,4.23,5.08,5.68,5.66
Okefenokee Wilderness,4.16,3.79,3.8,3.65,3.79,4.46,4.24,4.55,4.55,4.35,4.18,4.33
Olympic NP,5.76,5.2,4.81,4.64,3.81,4.04,3.52,4.16,4.7,5.63,6.11,6.02
Otter Creek Wilderness,3.41,3.2,3.2,2.91,3.64,3.7,3.88,4.18,4.26,3.72,3.32,3.56
Pasayten Wilderness,5.46,4.89,4.2,3.96,3.77,3.42,3.28,3.49,4.08,5,5.72,5.74
Pecos Wilderness,2.65,2.4,2.1,1.85,1.88,1.65,1.96,2.34,2.27,1.94,2.36,2.6
Petrified Forest NP,2.67,2.43,1.96,1.59,1.46,1.26,1.67,2.06,1.85,1.79,2.2,2.66
Pine Mountain Wilderness,2.44,2.29,1.95,1.51,1.41,1.2,1.54,1.91,1.77,1.7,1.96,2.39
Pinnacles NM,4.02,4.05,4.09,3.01,2.81,2.54,2.4,2.52,2.54,2.74,2.82,3.36
Point Reyes NS,4.16,3.74,3.53,2.96,2.8,2.55,2.69,2.77,2.8,2.9,3.3,3.8
Presidential Range-Dry River Wilderness,3.36,3.02,3.15,3.26,3.37,3.56,3.86,4.14,4.33,3.96,3.68,3.5
Rawah Wilderness,2.31,2.39,2.32,2.44,2.61,2.19,2.05,2.16,2.31,2.12,2.37,2.29
