Table 9,Monthly fSS(RH)Sea Salt Relative Humidity Adjustment Factor
Class_I_Area,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Acadia NP,3.9,3.48,3.4,3.66,3.71,3.81,4.19,4.27,4.44,4.13,4.1,4.19
Agua Tibia Wilderness,2.94,2.95,3.02,2.85,2.88,2.81,2.78,2.9,2.9,2.83,2.56,2.69
Alpine Lakes Wilderness,5.35,4.96,4.27,4.11,4.18,3.64,3.68,3.73,4.12,4.98,5.51,5.53
Anaconda Pintler Wilderness,4,3.56,3.18,2.9,2.85,2.75,2.33,2.25,2.52,3.1,3.81,3.97
Ansel Adams Wilderness,3.55,3.25,3.04,2.54,2.38,2.05,1.91,1.91,2.03,2.21,2.72,3.21
Arches NP,3.25,2.99,2.26,1.97,1.86,1.48,1.59,1.82,1.88,1.96,2.6,3.02
Badlands NP,3.37,3.33,3.27,3.05,3.25,3.15,2.89,2.81,2.74,2.82,3.41,3.38
Bandelier NM,2.91,2.59,2.22,1.87,1.9,1.67,2.11,2.54,2.37,2,2.49,2.78
Bering Sea Wilderness,4.39,4.57,4.6,4.58,4.57,4.7,5.26,5.73,5.11,4.59,4.52,4.54
Big Bend NP,2.2,2.03,1.75,1.67,1.84,1.87,2.03,2.34,2.47,2.09,2.1,2.22
Black Canyon of the Gunnison NP,3.05,2.89,2.47,2.31,2.28,1.89,2.04,2.36,2.37,2.18,2.71,2.92
Bob Marshall Wilderness,4.08,3.66,3.35,3.11,3.08,3.04,2.68,2.59,2.94,3.42,3.98,4.05
Bosque del Apache Wilderness,2.77,2.43,1.95,1.62,1.62,1.47,2.06,2.4,2.29,1.92,2.27,2.71
Boundary Waters Canoe Area Wilderness,3.73,3.35,3.29,2.91,3,3.44,3.68,3.88,3.98,3.45,3.89,3.91
Breton Wilderness,4.1,3.89,3.87,3.85,4.02,4.21,4.44,4.38,4.23,3.99,4.01,4.11
Bridger Wilderness,3.25,3.05,2.9,2.67,2.62,2.17,1.81,1.79,2.17,2.43,3.15,3.17
Brigantine Wilderness,3.53,3.24,3.3,3.15,3.49,3.63,3.84,4.02,4.02,3.82,3.48,3.55
Bryce Canyon NP,3.24,3,2.4,1.96,1.8,1.45,1.52,1.8,1.78,1.93,2.52,2.99
Cabinet Mountains Wilderness,4.42,3.93,3.5,3.18,3.13,3.06,2.67,2.59,3.01,3.58,4.33,4.46
Caney Creek Wilderness,3.9,3.52,3.31,3.41,3.83,3.88,3.69,3.68,3.82,3.76,3.77,3.93
Canyonlands NP,3.3,3.04,2.33,1.99,1.87,1.48,1.63,1.9,1.94,2,2.64,3.07
Cape Romain Wilderness,3.74,3.44,3.37,3.23,3.62,3.99,4.04,4.32,4.29,4.03,3.74,3.81
Capitol Reef NP,3.35,3.11,2.45,2.08,1.93,1.54,1.62,1.9,1.94,2.05,2.68,3.13
Caribou Wilderness,4.16,3.63,3.28,2.89,2.75,2.47,2.33,2.37,2.49,2.74,3.48,3.97
Carlsbad Caverns NP,2.75,2.36,1.86,1.72,1.89,1.86,2.27,2.59,2.75,2.09,2.29,2.68
Chassahowitzka Wilderness,4.29,3.99,3.89,3.76,3.77,4.29,4.34,4.51,4.49,4.33,4.23,4.38
Chiricahua NM,2.53,2.38,1.91,1.41,1.38,1.21,2.12,2.55,2.18,1.78,1.99,2.56
Chiricahua Wilderness,2.48,2.33,1.86,1.37,1.35,1.2,2.12,2.54,2.16,1.75,1.94,2.52
Cohutta Wilderness,3.97,3.62,3.44,3.26,3.82,4.2,4.24,4.35,4.35,4.05,3.82,4.02
Crater Lake NP,5.15,4.56,4.31,4.12,3.8,3.52,3.2,3.23,3.44,4.17,5.1,5.19
Craters of the Moon NM,3.78,3.41,2.86,2.51,2.48,2.16,1.72,1.69,1.93,2.43,3.38,3.72
Cucamonga Wilderness,3.07,3.01,3.03,2.79,2.8,2.72,2.72,2.8,2.81,2.76,2.58,2.77
Denali NP & Pres,3.68,3.57,3.07,2.74,2.74,3.01,3.53,4.13,4.19,4.09,3.92,3.94
Desolation Wilderness,3.85,3.39,3.02,2.48,2.32,2.01,1.84,1.87,2.02,2.28,2.94,3.58
Diamond Peak Wilderness,5.29,4.72,4.45,4.27,3.92,3.65,3.23,3.26,3.56,4.43,5.26,5.34
Dolly Sods Wilderness,3.6,3.35,3.31,3.03,3.66,3.76,3.91,4.12,4.16,3.72,3.47,3.72
Dome Land Wilderness,3.1,2.86,2.75,2.42,2.33,2.15,2.11,2.16,2.22,2.26,2.4,2.71
Eagle Cap Wilderness,4.84,4.27,3.57,3.22,3.14,2.74,2.33,2.27,2.6,3.61,4.68,4.99
Eagles Nest Wilderness,2.86,2.82,2.54,2.52,2.57,2.2,2.2,2.44,2.46,2.27,2.73,2.79
Emigrant Wilderness,3.7,3.37,3.13,2.6,2.42,2.05,1.88,1.88,2.01,2.24,2.84,3.39
Everglades NP,3.6,3.44,3.37,3.22,3.21,3.58,3.5,3.72,3.78,3.61,3.5,3.55
Fitzpatrick Wilderness,3.25,3.05,2.88,2.66,2.62,2.18,1.82,1.79,2.16,2.43,3.13,3.18
Flat Tops Wilderness,2.99,2.88,2.54,2.47,2.47,2.07,2.03,2.23,2.35,2.25,2.75,2.89
Galiuro Wilderness,2.42,2.19,1.82,1.35,1.31,1.16,1.76,2.18,1.94,1.73,2,2.52
Gates of the Mountains Wilderness,3.62,3.27,3.05,2.85,2.8,2.74,2.43,2.35,2.58,2.99,3.41,3.52
Gearhart Mountain Wilderness,4.63,4.06,3.67,3.4,3.16,2.9,2.49,2.5,2.7,3.39,4.31,4.6
Gila Wilderness,2.63,2.35,1.91,1.52,1.48,1.36,2.22,2.36,2.19,1.87,2.17,2.65
Glacier NP,4.61,4.12,3.87,3.64,3.63,3.59,3.11,3.11,3.63,4.03,4.43,4.51
Glacier Peak Wilderness,5.14,4.73,4.19,4.03,3.93,3.6,3.51,3.63,4.04,4.79,5.31,5.34
Goat Rocks Wilderness,5.3,4.79,4.32,4.15,3.94,3.65,3.46,3.55,3.99,4.83,5.4,5.51
Grand Canyon NP,2.93,2.73,2.26,1.78,1.61,1.32,1.5,1.85,1.79,1.84,2.29,2.7
Grand Teton NP,3.34,3.1,2.82,2.59,2.56,2.21,1.85,1.78,2.12,2.48,3.1,3.29
Great Gulf Wilderness,3.6,3.29,3.29,3.34,3.41,3.58,3.85,4.07,4.2,3.96,3.81,3.73
Great Sand Dunes NP & Pres,2.98,2.84,2.48,2.33,2.36,2.08,2.24,2.66,2.56,2.26,2.82,2.94
