CI_Arches,Arches NP
CI_Bandelier,Bandelier NM
CI_Black_Canyon,Black Canyon of the Gunnison NP
CI_Bosque,Bosque del Apache Wilderness
CI_Canyonlands,Canyonlands NP
CI_Capitol_Reef,Capitol Reef NP
CI_Eagles_Nest,Eagles Nest Wilderness
CI_Flat_Tops,Flat Tops Wilderness
CI_Galiuro,Galiuro Wilderness
CI_Gila,Gila Wilderness
CI_Great_Sand_Dunes,Great Sand Dunes NP & Pres
CI_La_Garita,La Garita Wilderness
CI_Maroon_Bells,Maroon Bells-Snowmass Wilderness
CI_Mesa_Verde,Mesa Verde NP
CI_Mount_Baldy,Mount Baldy Wilderness
CI_Mount_Zirkel,Mount Zirkel Wilderness
CI_Pecos,Pecos Wilderness
CI_Petrified_Forest,Petrified Forest NP
CI_Rawah,Rawah Wilderness
CI_Rocky_Mountain,Rocky Mountain NP
CI_Salt_Creek,Salt Creek Wilderness
CI_San_Pedro,San Pedro Parks Wilderness
CI_Weminuche,Weminuche Wilderness
CI_West_Elk,West Elk Wilderness
CI_Wheeler_Peak,Wheeler Peak Wilderness
CI_White_Mountain,White Mountain Wilderness
CI_Dinosaur_CO,Mount Zirkel Wilderness
CII_Alamosa_NWR,Weminuche Wilderness
CII_Aldo_Leopold,Gila Wilderness
CII_Apache_Kid,Bosque del Apache Wilderness
CII_Aztec_Ruins,Weminuche Wilderness
CII_Baca_NWR,Great Sand Dunes NP & Pres
CII_Bear_Wallow,Mount Baldy Wilderness
CII_Bitter_Lake_NWR,Salt Creek Wilderness
CII_Blue_Range,Gila Wilderness
CII_Bosque_NWR,Bosque del Apache Wilderness
CII_Browns_Park_NWR,Mount Zirkel Wilderness
CII_Canyon_de_Chelly,Petrified Forest NP
CII_Capitan_Mountain,White Mountain Wilderness
CII_Chaco_Culture,San Pedro Parks Wilderness
CII_Chama_River_Cany,San Pedro Parks Wilderness
CII_Chimney_Rock,Weminuche Wilderness
CII_Colorado,West Elk Wilderness
CII_Cruces_Basin,Wheeler Peak Wilderness
CII_Curecanti,Black Canyon of the Gunnison NP
CII_Dark_Canyon,Canyonlands NP
CII_Dinosaur_all,Flat Tops Wilderness
CII_Dome,Pecos Wilderness
CII_El_Malpais,Petrified Forest NP
CII_Escudilla,Mount Baldy Wilderness
CII_Flaming_Gorge,Mount Zirkel Wilderness
CII_Florissant_Fossi,Eagles Nest Wilderness
CII_Fossil_Ridge,West Elk Wilderness
CII_Glen_Canyon,Canyonlands NP
CII_Great_Sand_Park,Great Sand Dunes NP & Pres
CII_Great_Sand_Prese,Great Sand Dunes NP & Pres
CII_Greenhorn_Mounta,Great Sand Dunes NP & Pres
CII_High_Uintas,Flat Tops Wilderness
CII_Holy_Cross,Eagles Nest Wilderness
CII_Hovenweep,Mesa Verde NP
CII_Hunter_Fryingpan,Maroon Bells-Snowmass Wilderness
CII_Las_Vegas_NWR,Pecos Wilderness
CII_Latir_Peak,Wheeler Peak Wilderness
CII_Lizard_Head,Weminuche Wilderness
CII_Lost_Creek,Eagles Nest Wilderness
CII_Manzano_Mountain,Bandelier NM
CII_Maxwell_NWR,Wheeler Peak Wilderness
CII_Monte_Vista_NWR,Weminuche Wilderness
CII_Mount_Evans,Eagles Nest Wilderness
CII_Mount_Sneffels,Weminuche Wilderness
CII_Natural_Bridges,Canyonlands NP
CII_Navajo,Capitol Reef NP
CII_Petroglyph,Bandelier NM
CII_Powderhorn,La Garita Wilderness
CII_Raggeds,Maroon Bells-Snowmass Wilderness
CII_Rio_Mora_NWR_and,Pecos Wilderness
CII_Sandia_Mountain,Bandelier NM
CII_Sangre_de_Cristo,Great Sand Dunes NP & Pres
CII_Savage_Run,Mount Zirkel Wilderness
CII_Sevilleta_NWR,Bosque del Apache Wilderness
CII_South_San_Juan,Weminuche Wilderness
CII_Spanish_Peaks,Wheeler Peak Wilderness
CII_Uncompahgre,La Garita Wilderness
CII_Valle_De_Oro_NWR,Bandelier NM
CII_Withington,Bosque del Apache Wilderness
